order_id,order_date,supplier,shipping_mode,product_category,order_value_eur,promised_lead_time_days,actual_lead_time_days,is_delayed,delay_days,is_defective,is_otif
ORD-10042,2025-11-03,Supplier E (Vietnam),Ocean Cargo,Heavy Machinery,3263.51,7,8,True,1,False,False
ORD-10043,2025-05-15,Supplier D (India),Express Courier,Raw Materials,7716.64,45,48,True,3,False,False
ORD-10044,2025-01-21,Supplier B (China),Rail Freight,Electronics,3237.89,21,21,False,0,False,True
ORD-10045,2025-11-25,Supplier B (China),Ocean Cargo,Industrial Components,3669.52,7,5,False,0,False,True
ORD-10046,2025-06-16,Supplier B (China),Ocean Cargo,Raw Materials,3727.82,21,21,False,0,False,True
ORD-10047,2025-10-01,Supplier D (India),Air Freight,Heavy Machinery,5643.31,30,28,False,0,False,True
ORD-10048,2025-03-30,Supplier A (Germany),Ocean Cargo,Raw Materials,1851.2,21,19,False,0,False,True
ORD-10049,2025-11-12,Supplier B (China),Ocean Cargo,Heavy Machinery,2303.67,30,42,True,12,False,False
ORD-10050,2025-01-14,Supplier A (Germany),Rail Freight,Industrial Components,18858.88,30,35,True,5,False,False
ORD-10051,2025-08-30,Supplier B (China),Ocean Cargo,Raw Materials,6781.27,21,20,False,0,False,True
ORD-10052,2025-09-22,Supplier D (India),Ocean Cargo,Electronics,9032.87,45,43,False,0,False,True
ORD-10053,2025-12-12,Supplier D (India),Ocean Cargo,Industrial Components,5148.31,45,48,True,3,False,False
ORD-10054,2025-02-22,Supplier A (Germany),Express Courier,Raw Materials,4393.04,45,44,False,0,False,True
ORD-10055,2025-12-06,Supplier E (Vietnam),Ocean Cargo,Raw Materials,7084.78,14,17,True,3,False,False
ORD-10056,2025-04-02,Supplier C (USA),Ocean Cargo,Heavy Machinery,8796.34,30,36,True,6,False,False
ORD-10057,2025-09-21,Supplier A (Germany),Rail Freight,Industrial Components,9670.74,21,24,True,3,False,False
ORD-10058,2025-02-04,Supplier B (China),Air Freight,Industrial Components,4441.52,45,44,False,0,False,True
ORD-10059,2025-07-25,Supplier B (China),Express Courier,Industrial Components,10554.43,45,43,False,0,False,True
ORD-10060,2025-03-22,Supplier A (Germany),Air Freight,Industrial Components,683.36,21,30,True,9,False,False
ORD-10061,2025-02-19,Supplier E (Vietnam),Express Courier,Heavy Machinery,10034.95,30,39,True,9,False,False
ORD-10062,2025-12-26,Supplier B (China),Ocean Cargo,Electronics,3492.86,21,21,False,0,False,True
ORD-10063,2025-01-02,Supplier D (India),Ocean Cargo,Industrial Components,7651.87,14,12,False,0,False,True
ORD-10064,2025-02-23,Supplier B (China),Express Courier,Heavy Machinery,2923.5,14,14,False,0,False,True
ORD-10065,2025-04-16,Supplier A (Germany),Air Freight,Electronics,1700.44,21,22,True,1,False,False
ORD-10066,2025-09-17,Supplier B (China),Air Freight,Electronics,6449.53,30,34,True,4,True,False
ORD-10067,2025-11-06,Supplier A (Germany),Ocean Cargo,Heavy Machinery,1478.49,45,47,True,2,False,False
ORD-10068,2025-07-10,Supplier B (China),Ocean Cargo,Industrial Components,3569.78,14,14,False,0,False,True
ORD-10069,2025-08-06,Supplier E (Vietnam),Ocean Cargo,Electronics,2565.88,14,15,True,1,False,False
ORD-10070,2025-02-13,Supplier B (China),Air Freight,Industrial Components,4272.58,30,32,True,2,False,False
ORD-10071,2025-06-11,Supplier C (USA),Air Freight,Industrial Components,9299.98,14,14,False,0,False,True
ORD-10072,2025-07-21,Supplier A (Germany),Air Freight,Raw Materials,3321.34,14,14,False,0,False,True
ORD-10073,2025-09-27,Supplier A (Germany),Air Freight,Industrial Components,6321.19,30,30,False,0,False,True
ORD-10074,2025-12-17,Supplier A (Germany),Ocean Cargo,Raw Materials,8879.29,21,22,True,1,False,False
ORD-10075,2025-10-31,Supplier C (USA),Express Courier,Electronics,3023.58,45,48,True,3,False,False
ORD-10076,2025-09-28,Supplier A (Germany),Rail Freight,Heavy Machinery,3058.86,45,47,True,2,False,False
ORD-10077,2025-08-03,Supplier B (China),Express Courier,Raw Materials,14697.95,14,13,False,0,False,True
ORD-10078,2025-09-09,Supplier C (USA),Air Freight,Heavy Machinery,4612.33,45,44,False,0,False,True
ORD-10079,2025-07-09,Supplier B (China),Ocean Cargo,Electronics,7385.77,21,19,False,0,False,True
ORD-10080,2025-10-23,Supplier A (Germany),Air Freight,Industrial Components,7341.14,14,15,True,1,False,False
ORD-10081,2025-08-01,Supplier B (China),Air Freight,Electronics,1884.86,45,43,False,0,False,True
ORD-10082,2025-07-27,Supplier E (Vietnam),Ocean Cargo,Heavy Machinery,2673.92,7,5,False,0,False,True
ORD-10083,2025-08-25,Supplier C (USA),Air Freight,Electronics,6636.09,7,8,True,1,False,False
ORD-10084,2025-12-04,Supplier B (China),Air Freight,Industrial Components,940.25,7,7,False,0,False,True
ORD-10085,2025-02-22,Supplier A (Germany),Rail Freight,Electronics,4150.41,7,9,True,2,False,False
ORD-10086,2025-10-07,Supplier E (Vietnam),Ocean Cargo,Industrial Components,2459.65,7,6,False,0,False,True
ORD-10087,2025-08-05,Supplier C (USA),Ocean Cargo,Raw Materials,11949.02,14,16,True,2,False,False
ORD-10088,2025-09-09,Supplier B (China),Air Freight,Heavy Machinery,6482.7,30,35,True,5,False,False
ORD-10089,2025-07-07,Supplier D (India),Air Freight,Industrial Components,12746.31,30,37,True,7,False,False
ORD-10090,2025-02-10,Supplier B (China),Express Courier,Industrial Components,4763.32,14,15,True,1,False,False
ORD-10091,2025-06-06,Supplier B (China),Air Freight,Electronics,4486.77,14,16,True,2,False,False
ORD-10092,2025-01-15,Supplier C (USA),Ocean Cargo,Raw Materials,3850.88,21,23,True,2,False,False
ORD-10093,2025-10-28,Supplier A (Germany),Air Freight,Industrial Components,3286.39,30,36,True,6,False,False
ORD-10094,2025-03-06,Supplier E (Vietnam),Ocean Cargo,Raw Materials,42096.72,7,7,False,0,False,True
ORD-10095,2025-12-11,Supplier D (India),Air Freight,Raw Materials,9374.38,14,13,False,0,False,True
ORD-10096,2025-11-23,Supplier C (USA),Express Courier,Electronics,2094.46,7,11,True,4,False,False
ORD-10097,2025-01-09,Supplier A (Germany),Express Courier,Industrial Components,40596.9,30,29,False,0,False,True
ORD-10098,2025-12-10,Supplier A (Germany),Express Courier,Electronics,3554.66,45,47,True,2,False,False
ORD-10099,2025-05-09,Supplier B (China),Air Freight,Heavy Machinery,6354.52,45,48,True,3,False,False
ORD-10100,2025-05-16,Supplier D (India),Express Courier,Heavy Machinery,10422.04,14,15,True,1,False,False
ORD-10101,2025-03-04,Supplier B (China),Ocean Cargo,Industrial Components,1436.03,21,20,False,0,True,False
ORD-10102,2025-05-19,Supplier B (China),Ocean Cargo,Raw Materials,2535.48,7,9,True,2,False,False
ORD-10103,2025-03-22,Supplier D (India),Ocean Cargo,Industrial Components,18371.06,14,13,False,0,False,True
ORD-10104,2025-06-12,Supplier A (Germany),Air Freight,Industrial Components,4105.72,21,22,True,1,False,False
ORD-10105,2025-10-16,Supplier C (USA),Air Freight,Heavy Machinery,10926.39,7,5,False,0,False,True
ORD-10106,2025-09-18,Supplier A (Germany),Express Courier,Heavy Machinery,3419.42,30,34,True,4,False,False
ORD-10107,2025-08-19,Supplier E (Vietnam),Air Freight,Raw Materials,4554.87,45,44,False,0,False,True
ORD-10108,2025-02-10,Supplier B (China),Ocean Cargo,Raw Materials,20500.52,21,21,False,0,False,True
ORD-10109,2025-01-28,Supplier A (Germany),Ocean Cargo,Industrial Components,6974.46,7,7,False,0,False,True
ORD-10110,2025-05-15,Supplier B (China),Express Courier,Electronics,3729.84,14,35,True,21,False,False
ORD-10111,2025-07-20,Supplier B (China),Rail Freight,Industrial Components,2844.97,7,7,False,0,False,True
ORD-10112,2025-11-24,Supplier D (India),Express Courier,Raw Materials,3061.01,14,15,True,1,False,False
ORD-10113,2025-09-25,Supplier D (India),Air Freight,Electronics,13269.83,45,44,False,0,False,True
ORD-10114,2025-02-02,Supplier C (USA),Air Freight,Heavy Machinery,9067.02,45,47,True,2,False,False
ORD-10115,2025-02-17,Supplier A (Germany),Ocean Cargo,Raw Materials,1960.7,7,9,True,2,False,False
ORD-10116,2025-03-03,Supplier A (Germany),Air Freight,Raw Materials,5269.77,7,5,False,0,False,True
ORD-10117,2025-08-04,Supplier A (Germany),Air Freight,Electronics,4658.96,14,15,True,1,True,False
ORD-10118,2025-10-20,Supplier C (USA),Ocean Cargo,Raw Materials,6328.85,14,13,False,0,False,True
ORD-10119,2025-04-09,Supplier D (India),Ocean Cargo,Raw Materials,3032.5,21,22,True,1,False,False
ORD-10120,2025-06-21,Supplier B (China),Rail Freight,Raw Materials,11828.23,21,28,True,7,False,False
ORD-10121,2025-12-26,Supplier A (Germany),Air Freight,Raw Materials,4909.51,21,27,True,6,False,False
ORD-10122,2025-08-02,Supplier C (USA),Air Freight,Raw Materials,6625.95,7,7,False,0,False,True
ORD-10123,2025-02-04,Supplier D (India),Air Freight,Raw Materials,2623.46,21,19,False,0,False,True
ORD-10124,2025-08-15,Supplier D (India),Rail Freight,Raw Materials,2731.35,7,5,False,0,False,True
ORD-10125,2025-04-11,Supplier D (India),Express Courier,Raw Materials,41192.39,45,45,False,0,False,True
ORD-10126,2025-05-11,Supplier B (China),Express Courier,Heavy Machinery,20745.07,30,33,True,3,False,False
ORD-10127,2025-09-14,Supplier A (Germany),Rail Freight,Raw Materials,4648.29,45,47,True,2,False,False
ORD-10128,2025-01-05,Supplier D (India),Ocean Cargo,Heavy Machinery,16754.18,7,10,True,3,False,False
ORD-10129,2025-08-06,Supplier C (USA),Ocean Cargo,Heavy Machinery,12967.35,7,7,False,0,False,True
ORD-10130,2025-09-12,Supplier B (China),Ocean Cargo,Industrial Components,2980.45,30,28,False,0,False,True
ORD-10131,2025-12-25,Supplier D (India),Ocean Cargo,Industrial Components,2751.92,14,14,False,0,False,True
ORD-10132,2025-10-10,Supplier D (India),Ocean Cargo,Heavy Machinery,8391.22,14,13,False,0,False,True
ORD-10133,2025-07-26,Supplier C (USA),Ocean Cargo,Heavy Machinery,6051.42,14,14,False,0,False,True
ORD-10134,2025-01-15,Supplier C (USA),Rail Freight,Raw Materials,3563.14,21,22,True,1,False,False
ORD-10135,2025-12-12,Supplier B (China),Rail Freight,Industrial Components,8751.51,14,14,False,0,False,True
ORD-10136,2025-02-11,Supplier B (China),Express Courier,Electronics,1550.01,21,19,False,0,False,True
ORD-10137,2025-06-28,Supplier B (China),Express Courier,Industrial Components,5388.39,21,23,True,2,False,False
ORD-10138,2025-03-04,Supplier D (India),Ocean Cargo,Heavy Machinery,1824.13,14,12,False,0,False,True
ORD-10139,2025-12-18,Supplier D (India),Air Freight,Heavy Machinery,1872.83,14,17,True,3,False,False
ORD-10140,2025-08-19,Supplier D (India),Air Freight,Raw Materials,2792.21,30,29,False,0,False,True
ORD-10141,2025-08-29,Supplier A (Germany),Ocean Cargo,Raw Materials,6572.37,30,33,True,3,False,False
ORD-10142,2025-02-21,Supplier D (India),Express Courier,Industrial Components,2863.53,21,22,True,1,False,False
ORD-10143,2025-04-06,Supplier D (India),Air Freight,Raw Materials,1854.76,30,29,False,0,False,True
ORD-10144,2025-08-10,Supplier C (USA),Rail Freight,Electronics,7199.73,21,22,True,1,False,False
ORD-10145,2025-08-19,Supplier D (India),Air Freight,Electronics,16223.2,7,8,True,1,False,False
ORD-10146,2025-08-25,Supplier D (India),Air Freight,Raw Materials,8193.37,21,29,True,8,False,False
ORD-10147,2025-05-23,Supplier B (China),Ocean Cargo,Electronics,20773.62,21,21,False,0,False,True
ORD-10148,2025-06-20,Supplier B (China),Air Freight,Electronics,15174.06,30,31,True,1,False,False
ORD-10149,2025-01-29,Supplier A (Germany),Air Freight,Industrial Components,3327.77,7,10,True,3,False,False
ORD-10150,2025-02-05,Supplier B (China),Ocean Cargo,Electronics,8149.63,45,47,True,2,False,False
ORD-10151,2025-01-13,Supplier C (USA),Express Courier,Heavy Machinery,4567.38,45,45,False,0,False,True
ORD-10152,2025-06-09,Supplier D (India),Ocean Cargo,Heavy Machinery,11495.14,45,45,False,0,False,True
ORD-10153,2025-11-23,Supplier A (Germany),Ocean Cargo,Industrial Components,4566.72,7,6,False,0,False,True
ORD-10154,2025-07-06,Supplier A (Germany),Ocean Cargo,Raw Materials,2615.06,14,14,False,0,False,True
ORD-10155,2025-08-31,Supplier C (USA),Air Freight,Industrial Components,14745.96,7,7,False,0,False,True
ORD-10156,2025-03-27,Supplier A (Germany),Rail Freight,Raw Materials,6337.48,30,28,False,0,False,True
ORD-10157,2025-10-11,Supplier A (Germany),Air Freight,Raw Materials,2890.48,21,20,False,0,False,True
ORD-10158,2025-03-07,Supplier A (Germany),Rail Freight,Raw Materials,3297.83,21,19,False,0,False,True
ORD-10159,2025-06-19,Supplier A (Germany),Ocean Cargo,Raw Materials,2875.73,30,34,True,4,False,False
ORD-10160,2025-02-14,Supplier A (Germany),Rail Freight,Raw Materials,2205.26,30,28,False,0,False,True
ORD-10161,2025-03-03,Supplier B (China),Air Freight,Industrial Components,3354.26,21,20,False,0,False,True
ORD-10162,2025-05-14,Supplier B (China),Ocean Cargo,Raw Materials,6623.75,14,12,False,0,False,True
ORD-10163,2025-10-11,Supplier D (India),Air Freight,Electronics,5173.21,14,14,False,0,False,True
ORD-10164,2025-01-28,Supplier B (China),Air Freight,Electronics,3461.39,14,15,True,1,False,False
ORD-10165,2025-04-18,Supplier D (India),Ocean Cargo,Raw Materials,16259.07,30,30,False,0,False,True
ORD-10166,2025-02-13,Supplier A (Germany),Air Freight,Electronics,983.87,21,20,False,0,False,True
ORD-10167,2025-12-06,Supplier A (Germany),Ocean Cargo,Heavy Machinery,6278.64,21,30,True,9,False,False
ORD-10168,2025-10-13,Supplier D (India),Air Freight,Industrial Components,4384.33,21,23,True,2,False,False
ORD-10169,2025-11-27,Supplier A (Germany),Ocean Cargo,Industrial Components,2261.66,7,6,False,0,False,True
ORD-10170,2025-05-08,Supplier B (China),Express Courier,Raw Materials,6578.51,7,18,True,11,False,False
ORD-10171,2025-12-14,Supplier C (USA),Ocean Cargo,Raw Materials,4122.44,45,52,True,7,False,False
ORD-10172,2025-08-19,Supplier C (USA),Ocean Cargo,Heavy Machinery,13328.49,7,12,True,5,False,False
ORD-10173,2025-07-09,Supplier A (Germany),Ocean Cargo,Raw Materials,9842.37,14,23,True,9,False,False
ORD-10174,2025-08-13,Supplier B (China),Express Courier,Electronics,22581.91,14,15,True,1,False,False
ORD-10175,2025-10-10,Supplier C (USA),Ocean Cargo,Heavy Machinery,3338.73,14,14,False,0,False,True
ORD-10176,2025-05-01,Supplier A (Germany),Ocean Cargo,Electronics,15021.59,14,18,True,4,False,False
ORD-10177,2025-04-26,Supplier C (USA),Rail Freight,Industrial Components,1933.94,45,45,False,0,False,True
ORD-10178,2025-08-21,Supplier D (India),Express Courier,Electronics,4498.46,14,20,True,6,False,False
ORD-10179,2025-09-16,Supplier E (Vietnam),Ocean Cargo,Industrial Components,3387.35,30,30,False,0,False,True
ORD-10180,2025-12-25,Supplier A (Germany),Ocean Cargo,Electronics,7958.19,30,35,True,5,False,False
ORD-10181,2025-07-17,Supplier D (India),Express Courier,Industrial Components,7805.79,30,30,False,0,False,True
ORD-10182,2025-05-17,Supplier B (China),Ocean Cargo,Raw Materials,2391.09,7,8,True,1,False,False
ORD-10183,2025-11-14,Supplier B (China),Air Freight,Electronics,8321.13,21,21,False,0,False,True
ORD-10184,2025-06-14,Supplier A (Germany),Air Freight,Industrial Components,3625.0,45,45,False,0,False,True
ORD-10185,2025-08-13,Supplier D (India),Express Courier,Electronics,2556.93,30,31,True,1,False,False
ORD-10186,2025-11-03,Supplier A (Germany),Air Freight,Heavy Machinery,4868.66,30,30,False,0,False,True
ORD-10187,2025-08-22,Supplier B (China),Express Courier,Raw Materials,1507.98,14,16,True,2,False,False
ORD-10188,2025-06-21,Supplier A (Germany),Ocean Cargo,Industrial Components,10353.14,30,28,False,0,False,True
ORD-10189,2025-06-01,Supplier D (India),Ocean Cargo,Heavy Machinery,4700.87,14,15,True,1,False,False
ORD-10190,2025-11-11,Supplier D (India),Air Freight,Electronics,4783.86,14,12,False,0,False,True
ORD-10191,2025-06-09,Supplier D (India),Air Freight,Heavy Machinery,4583.72,21,20,False,0,False,True
ORD-10192,2025-04-06,Supplier B (China),Rail Freight,Electronics,18351.75,7,9,True,2,False,False
ORD-10193,2025-08-21,Supplier A (Germany),Express Courier,Raw Materials,16565.91,14,16,True,2,False,False
ORD-10194,2025-06-29,Supplier C (USA),Ocean Cargo,Heavy Machinery,14481.23,14,12,False,0,False,True
ORD-10195,2025-04-23,Supplier B (China),Ocean Cargo,Raw Materials,4591.52,21,30,True,9,False,False
ORD-10196,2025-11-14,Supplier A (Germany),Ocean Cargo,Industrial Components,2013.24,14,13,False,0,False,True
ORD-10197,2025-02-21,Supplier C (USA),Ocean Cargo,Electronics,4852.34,45,44,False,0,False,True
ORD-10198,2025-09-25,Supplier E (Vietnam),Ocean Cargo,Electronics,6320.29,7,15,True,8,False,False
ORD-10199,2025-10-22,Supplier D (India),Air Freight,Raw Materials,9415.27,45,45,False,0,False,True
ORD-10200,2025-04-23,Supplier D (India),Ocean Cargo,Raw Materials,6304.04,30,33,True,3,False,False
ORD-10201,2025-04-11,Supplier E (Vietnam),Express Courier,Industrial Components,2162.03,7,13,True,6,False,False
ORD-10202,2025-04-23,Supplier A (Germany),Rail Freight,Heavy Machinery,3202.44,30,31,True,1,False,False
ORD-10203,2025-03-22,Supplier C (USA),Air Freight,Electronics,2978.25,14,19,True,5,False,False
ORD-10204,2025-07-06,Supplier E (Vietnam),Express Courier,Electronics,7564.66,21,20,False,0,False,True
ORD-10205,2025-04-23,Supplier A (Germany),Ocean Cargo,Industrial Components,7714.66,45,45,False,0,False,True
ORD-10206,2025-01-02,Supplier D (India),Ocean Cargo,Industrial Components,8567.28,30,28,False,0,False,True
ORD-10207,2025-05-10,Supplier C (USA),Air Freight,Raw Materials,6253.08,14,12,False,0,False,True
ORD-10208,2025-08-08,Supplier C (USA),Ocean Cargo,Raw Materials,946.38,45,51,True,6,False,False
ORD-10209,2025-02-23,Supplier C (USA),Ocean Cargo,Heavy Machinery,1235.6,45,45,False,0,False,True
ORD-10210,2025-12-09,Supplier E (Vietnam),Ocean Cargo,Industrial Components,4393.36,30,30,False,0,False,True
ORD-10211,2025-08-12,Supplier D (India),Express Courier,Heavy Machinery,5315.93,14,30,True,16,False,False
ORD-10212,2025-08-13,Supplier A (Germany),Express Courier,Industrial Components,13398.96,21,20,False,0,False,True
ORD-10213,2025-05-06,Supplier D (India),Ocean Cargo,Electronics,5230.36,30,43,True,13,False,False
ORD-10214,2025-05-10,Supplier A (Germany),Rail Freight,Industrial Components,2251.25,45,46,True,1,False,False
ORD-10215,2025-02-22,Supplier B (China),Ocean Cargo,Industrial Components,8347.62,45,47,True,2,False,False
ORD-10216,2025-06-21,Supplier B (China),Air Freight,Electronics,4847.4,7,7,False,0,False,True
ORD-10217,2025-08-06,Supplier B (China),Ocean Cargo,Industrial Components,3562.99,14,18,True,4,False,False
ORD-10218,2025-06-09,Supplier B (China),Air Freight,Heavy Machinery,1350.62,7,10,True,3,False,False
ORD-10219,2025-07-17,Supplier E (Vietnam),Ocean Cargo,Raw Materials,5261.39,21,24,True,3,False,False
ORD-10220,2025-09-04,Supplier D (India),Air Freight,Raw Materials,5902.05,30,36,True,6,False,False
ORD-10221,2025-11-20,Supplier C (USA),Air Freight,Heavy Machinery,2215.17,45,46,True,1,False,False
ORD-10222,2025-07-22,Supplier A (Germany),Express Courier,Electronics,8914.96,14,16,True,2,False,False
ORD-10223,2025-07-03,Supplier E (Vietnam),Air Freight,Industrial Components,8298.56,45,46,True,1,False,False
ORD-10224,2025-05-03,Supplier E (Vietnam),Ocean Cargo,Heavy Machinery,5110.9,7,5,False,0,False,True
ORD-10225,2025-09-12,Supplier D (India),Air Freight,Raw Materials,4961.08,7,8,True,1,False,False
ORD-10226,2025-10-21,Supplier A (Germany),Ocean Cargo,Raw Materials,10475.87,30,31,True,1,False,False
ORD-10227,2025-10-07,Supplier A (Germany),Ocean Cargo,Heavy Machinery,6594.72,14,16,True,2,False,False
ORD-10228,2025-11-21,Supplier A (Germany),Express Courier,Raw Materials,2802.3,14,14,False,0,False,True
ORD-10229,2025-04-08,Supplier A (Germany),Ocean Cargo,Heavy Machinery,4195.98,30,30,False,0,False,True
ORD-10230,2025-07-17,Supplier B (China),Air Freight,Raw Materials,7673.13,7,11,True,4,False,False
ORD-10231,2025-08-28,Supplier E (Vietnam),Ocean Cargo,Heavy Machinery,966.95,7,5,False,0,False,True
ORD-10232,2025-05-24,Supplier B (China),Air Freight,Industrial Components,2332.69,7,7,False,0,False,True
ORD-10233,2025-04-07,Supplier A (Germany),Ocean Cargo,Industrial Components,8482.07,45,49,True,4,False,False
ORD-10234,2025-07-20,Supplier B (China),Ocean Cargo,Industrial Components,12927.37,21,21,False,0,False,True
ORD-10235,2025-05-04,Supplier A (Germany),Rail Freight,Industrial Components,11123.76,7,10,True,3,False,False
ORD-10236,2025-07-06,Supplier A (Germany),Air Freight,Raw Materials,10043.04,21,21,False,0,False,True
ORD-10237,2025-11-22,Supplier B (China),Ocean Cargo,Electronics,5452.31,21,26,True,5,False,False
ORD-10238,2025-12-15,Supplier B (China),Air Freight,Heavy Machinery,2157.87,14,12,False,0,False,True
ORD-10239,2025-09-16,Supplier D (India),Ocean Cargo,Electronics,4199.42,30,33,True,3,False,False
ORD-10240,2025-05-28,Supplier E (Vietnam),Ocean Cargo,Raw Materials,997.63,45,45,False,0,False,True
ORD-10241,2025-09-09,Supplier B (China),Rail Freight,Raw Materials,13912.25,21,22,True,1,False,False
ORD-10242,2025-12-12,Supplier B (China),Air Freight,Electronics,2556.28,45,47,True,2,False,False
ORD-10243,2025-05-27,Supplier D (India),Air Freight,Electronics,3207.74,14,21,True,7,False,False
ORD-10244,2025-05-28,Supplier B (China),Ocean Cargo,Raw Materials,11463.18,7,8,True,1,False,False
ORD-10245,2025-12-18,Supplier A (Germany),Air Freight,Raw Materials,1350.59,21,22,True,1,False,False
ORD-10246,2025-07-18,Supplier D (India),Air Freight,Heavy Machinery,1897.85,30,32,True,2,False,False
ORD-10247,2025-11-04,Supplier A (Germany),Ocean Cargo,Industrial Components,6089.84,14,18,True,4,False,False
ORD-10248,2025-05-08,Supplier C (USA),Air Freight,Industrial Components,7452.5,45,44,False,0,False,True
ORD-10249,2025-02-08,Supplier C (USA),Air Freight,Heavy Machinery,4640.79,7,16,True,9,False,False
ORD-10250,2025-12-04,Supplier B (China),Express Courier,Electronics,4763.48,45,45,False,0,False,True
ORD-10251,2025-12-26,Supplier B (China),Ocean Cargo,Raw Materials,13557.6,30,32,True,2,False,False
ORD-10252,2025-05-09,Supplier D (India),Air Freight,Electronics,8176.79,21,25,True,4,False,False
ORD-10253,2025-09-24,Supplier A (Germany),Air Freight,Industrial Components,7338.84,30,30,False,0,False,True
